scenario,condition,ID,content_mean,content_variance,alpha_accuracy_mean,alpha_accuracy_variance,alpha_target_mean,alpha_target_variance,alpha0,beta,gamma,epoch,action,action_prob,alpha_target_prior,alpha_accuracy_prior,content_prior,alpha_target_posterior,alpha_accuracy_posterior,content_posterior,alpha_target_prior_sd,alpha_accuracy_prior_sd,content_prior_sd,alpha_target_posterior_sd,alpha_accuracy_posterior_sd,content_posterior_sd
All,Differing-content,220,0.2,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_1,None,0.07252000000000002,4.066398088567751e-05,0.7999229328187047,0.20047575752024166,0.012471129045156387,0.7979383405208417,0.49268410419485936,0.05,0.05,0.14999999999919672,0.04980670835850407,0.05036634262520712,0.13499302598900448
All,Differing-content,220,0.2,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_4,None,0.47626,0.006060599798724278,0.7958791802176345,0.4881477412960137,0.015009555292255585,0.7960189883813918,0.5357957555581518,0.04862086990556631,0.05108243539231241,0.08943052167372532,0.04783837102057376,0.05115070902721452,0.07774920532541904
All,Differing-content,220,0.2,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.28903,0.018072553877138665,0.7969489500504379,0.581431570888757,0.006069102086381153,0.79598101843749,0.4876799127154694,0.04961501651916731,0.05107670132731782,0.10888808402238959,0.049066133714085504,0.05130099780767437,0.08969225240135753
All,Differing-content,220,0.2,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_2,None,0.49388,0.01182068642349995,0.7978237459841713,0.4935293173831795,0.018543712313829973,0.7980267953791568,0.5795489727496708,0.0496454514524362,0.050657762200877955,0.1375906066119367,0.04919592992309048,0.050636456032491374,0.10753090316219181
All,Differing-content,220,0.2,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_5,None,0.63426,0.016357082587924333,0.7954847223207702,0.5357577847657595,0.022168197825686856,0.7961505497869493,0.5624428496001064,0.04830817980354211,0.05094987101624787,0.07764208468454187,0.047406365383840396,0.05076311060524728,0.06954193161661448
All,Differing-content,294,0.8,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_1,None,0.80163,-0.0012271442647363044,0.49984903849650997,0.8000247166780502,0.06492053668452077,0.5376713193214517,0.8020518632801285,0.25,0.25,0.05,0.22611847775544533,0.2442684060925676,0.04930987134384905
All,Differing-content,294,0.8,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_4,None,0.56247,-0.15949228567906384,0.36069482088022187,0.7950438465489792,-0.09193125979634588,0.42591910456969195,0.7995111411437826,0.15869979346790153,0.20803225622527266,0.04982477343842328,0.15376280421518385,0.20756264198449204,0.04864200834723712
All,Differing-content,294,0.8,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_3,Debunk,0.08359,0.10849336086651594,0.5485485058192887,0.8055549339673549,-0.1626017877173703,0.3548725766934466,0.7944859758453621,0.20953654511006403,0.2401025268443848,0.04745224770630392,0.1578617516018807,0.20752677098911174,0.04992219753503594
All,Differing-content,294,0.8,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_2,None,0.87253,0.06433794972873269,0.5315196458348804,0.8024160303454616,0.10416410113847964,0.5544314135949769,0.8041496113150602,0.22811351616975822,0.24508690839001887,0.048654468290111254,0.20932113419970458,0.23876122854576493,0.04813387197690584
All,Differing-content,294,0.8,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_5,None,0.71743,-0.09314701233135658,0.4247464362856914,0.7997178874702895,-0.05149093915388221,0.46921652065668357,0.8029348029368472,0.1549611210307267,0.20856729817166042,0.04844301449011955,0.14689102469966578,0.20353304455921967,0.0476009605816609
All,Differing-content,463,0.8,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_1,None,0.92997,-0.0002946554686277433,0.8000347762514671,0.7998550130047501,0.0008272140028501495,0.8003864114727586,0.8234080418964286,0.05,0.05,0.14999999999919672,0.049933447304722135,0.04998927163238329,0.12483704678690097
All,Differing-content,463,0.8,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_4,None,0.68158,-0.015323863912136563,0.7963483425689931,0.5904186168321159,-0.011362889002836848,0.7966309954163501,0.6465664793266375,0.04912824325168813,0.051434953058348595,0.13323789036184447,0.04889127019742663,0.051244500146629915,0.1062615213376928
All,Differing-content,463,0.8,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.027549999999999995,0.0010391436070990114,0.8014732394533619,0.8393405764592362,-0.015182200127210848,0.796516818192007,0.5884728767832652,0.049705068032002565,0.05006109815233125,0.1148250910313275,0.04911565189911517,0.051375574473949685,0.12936001460018254
All,Differing-content,463,0.8,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_2,None,0.9534,-0.00032495587970525426,0.8011693850573285,0.8219263629625957,0.0004451163991226789,0.8012847950570479,0.8348690164995283,0.04953476518436685,0.05023894309131632,0.12935672405956375,0.049453453015093046,0.0503010851055726,0.11423202666720235
All,Differing-content,463,0.8,0.0225,0.8,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_5,None,0.82539,-0.010938508548689104,0.7964595366899524,0.6487876881626046,-0.008372756381456844,0.7966200098295738,0.6741013680006976,0.04824862262771425,0.050645537123741195,0.1076500182653085,0.047848353113459384,0.05057701437721817,0.09393029451725463
All,Differing-content,51,0.2,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_1,None,0.20015,0.0002454187045106468,0.500646347499409,0.1999357952329082,0.25451635539831546,0.3512688506038102,0.20905145127507418,0.25,0.25,0.05,0.15538317750328354,0.2160998592955582,0.0517835435908736
All,Differing-content,51,0.2,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_4,None,0.51832,0.23748701997530383,0.39535194800365425,0.204152395715014,0.2954192851140067,0.3226241075478077,0.20993915332641683,0.13598787494883832,0.20051711489053195,0.04953400621379602,0.10593172436941906,0.17443131922878286,0.05030748934180728
All,Differing-content,51,0.2,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_3,Debunk,0.25604,0.3185521090180677,0.2868020039941129,0.21350146736803052,0.23793689437275958,0.4012443884457675,0.2043271361683081,0.11658101216692421,0.18702966217007017,0.05193630838798853,0.13252462336124676,0.19844290577106546,0.049699071177719
All,Differing-content,51,0.2,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_2,None,0.5833,0.256395722262136,0.35499442514211665,0.20899134146291046,0.3180276962808148,0.2845969833458902,0.21410585586069664,0.15500473124073225,0.21625624208703143,0.05136550522499451,0.11553101192887688,0.18625673990067965,0.052051542644777245
All,Differing-content,51,0.2,0.0025,0.5,0.0625,0.5,0.0625,1.0,10.0,1.0,epoch_5,None,0.69618,0.2950709495215252,0.31829896127677404,0.21109271072777105,0.32180227782311804,0.27728892270005245,0.21497274066278935,0.10731492429245262,0.17372718249273517,0.050622804708767864,0.09158182434886837,0.15484910552600378,0.05114192763731623
